"filename", "language", "JSON", "JavaScript JSX", "TypeScript JSX", "comment", "blank", "total"
"f:\学习\大三下\项目实训\sapphire-client\package.json", "JSON", 2, 0, 0, 0, 0, 2
"f:\学习\大三下\项目实训\sapphire-client\src\App.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"f:\学习\大三下\项目实训\sapphire-client\src\constants\url.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 1
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\CreateDataset.tsx", "TypeScript JSX", 0, 0, 50, 40, 3, 93
"f:\学习\大三下\项目实训\sapphire-client\src\pages\dataset\DatasetDetail.tsx", "TypeScript JSX", 0, 0, 26, 1, 3, 30
"Total", "-", 2, 1, 80, 41, 6, 130
