"filename", "language", "JSON with Comments", "YAML", "Ignore", "JavaScript", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "JavaScript JSX", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"f:\学习\大三下\项目实训\sapphire-client\src\components\DataSet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"f:\学习\大三下\项目实训\sapphire-client\src\components\DayHeatMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 18, 3, 65
"f:\学习\大三下\项目实训\sapphire-client\src\components\Gallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 8, 109
"f:\学习\大三下\项目实训\sapphire-client\src\components\LoadingModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 6, 54
"f:\学习\大三下\项目实训\sapphire-client\src\components\MyDataSet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 4, 66
"f:\学习\大三下\项目实训\sapphire-client\src\components\SegmentDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 79, 10, 364
"f:\学习\大三下\项目实训\sapphire-client\src\components\SegmentOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 12, 3, 112
"f:\学习\大三下\项目实训\sapphire-client\src\components\Stage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 737, 0, 0, 0, 0, 0, 8, 39, 784
"f:\学习\大三下\项目实训\sapphire-client\src\components\SvgMask.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 4, 136
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\CanvasHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 76
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\ImageHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\Interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 14, 136
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\colors.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 4, 92
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\custom_tracer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 124, 30, 344
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\getFile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\mask_utils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 52, 21, 300
"f:\学习\大三下\项目实训\sapphire-client\src\components\helpers\modelAPI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 45, 28, 303
"f:\学习\大三下\项目实训\sapphire-client\src\components\hooks\Animation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 21, 7, 58
"f:\学习\大三下\项目实训\sapphire-client\src\components\hooks\context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 4, 108
"f:\学习\大三下\项目实训\sapphire-client\src\components\hooks\createContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 4, 141
"f:\学习\大三下\项目实训\sapphire-client\src\components\loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"f:\学习\大三下\项目实训\sapphire-client\src\components\loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 1, 22
"f:\学习\大三下\项目实训\sapphire-client\src\constants\mockdata.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 355, 0, 0, 0, 0, 0, 3, 358
"f:\学习\大三下\项目实训\sapphire-client\src\constants\url.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\学习\大三下\项目实训\sapphire-client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"f:\学习\大三下\项目实训\sapphire-client\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
